2017-11-06 13:42:58	  636455188837349580	         3	    0
2017-11-06 13:43:02	  636455188837349580	        20	   83
2017-11-06 13:43:22	  636455188673161395	         2	    0
2017-11-06 13:43:25	  636455188673161395	         2	    0
2017-11-06 13:43:26	  636455188673161395	         2	    0
2017-11-06 13:43:26	  636455188673161395	         2	    0
2017-11-06 13:43:29	  636455188673161395	         4	    0
2017-11-06 13:43:33	  636455188673161395	         5	    0
2017-11-06 13:43:37	  636455188673161395	         7	    0
2017-11-06 13:43:37	  636455188673161395	         7	    0
2017-11-06 13:43:41	  636455188673161395	         8	    0
2017-11-06 13:43:49	  636455188673161395	        19	   37
2017-11-06 13:44:11	  636455719767248455	        29	   14
